시간,시작가,고가,저가,종가,거래량,macd,macd_s,macd_d,vwap,sar
07/27/24 15:38:00,67921.5,67921.6,67910.5,67910.5,39.569,3.043768420597189,5.699642561712356,-2.6558741411151665,67928.60817705837,67951.93738035201
07/27/24 15:39:00,67910.6,67910.6,67909.6,67909.7,38.449,1.9896077727462398,4.957635603919132,-2.9680278311728925,67926.19195658434,67949.4511375309
07/27/24 15:40:00,67909.7,67933.7,67909.6,67933.7,36.737,3.055554754930199,4.577219434121346,-1.5216646791911472,67926.01148553961,67946.26304652842
07/27/24 15:41:00,67933.6,67963.0,67933.6,67963.0,81.421,6.193199202447431,4.9004153877865635,1.2927838146608677,67931.30445494087,67909.6
07/27/24 15:42:00,67962.9,67999.0,67962.9,67998.9,208.85,11.44470753936912,6.209273818103075,5.235433721266045,67950.38035748011,67909.6
07/27/24 15:43:00,67998.9,68000.0,67953.1,67957.3,101.353,12.110194612003397,7.38945797688314,4.720736635120257,67953.72630923346,67913.176
07/27/24 15:44:00,67957.3,67972.7,67957.2,67972.7,26.531,13.722069730312796,8.655980327569072,5.066089402743724,67954.8285879986,67918.38544000001
07/27/24 15:45:00,67972.7,68018.1,67972.6,68018.1,129.335,18.4502104101266,10.614826344080578,7.835384066046023,67963.27202783948,67923.28231360001
07/27/24 15:46:00,68018.1,68026.4,68017.0,68026.4,148.889,22.606443587646936,13.01314979279385,9.593293794853086,67974.26253111569,67930.867728512
07/27/24 15:47:00,68026.3,68034.1,68020.0,68020.0,86.528,25.09458703342534,15.429437240920151,9.66514979250519,67980.22346994856,67940.42095566081
07/27/24 15:48:00,68020.0,68020.1,67987.6,67999.9,58.375,25.154590165780974,17.374467825892317,7.780122339888656,67981.93192975613,67951.66244098151
07/27/24 15:49:00,67999.9,68020.6,67999.9,68020.3,45.333,26.542289598059142,19.208032180325684,7.334257417733458,67984.20135825699,67961.55494806373
07/27/24 15:50:00,68020.4,68020.4,68005.6,68009.0,61.338,26.425617761837202,20.65154929662799,5.774068465209211,67987.57486910168,67970.26035429609
07/27/24 15:51:00,68009.1,68020.3,68009.0,68020.3,23.106,26.934486063808436,21.908136650064083,5.026349413744352,67988.7894200112,67977.92111178055
07/27/24 15:52:00,68020.2,68048.9,68020.2,68045.3,108.995,29.02052833956259,23.330614987963784,5.689913351598804,67995.99975603916,67984.66257836689
07/27/24 15:53:00,68045.3,68050.0,68045.3,68049.9,106.137,30.691125241181,24.80271703860723,5.888408202573768,68003.25242418198,67993.65581739553
07/27/24 15:54:00,68049.9,68054.9,68049.9,68054.8,53.685,32.04112423544575,26.250398477974937,5.790725757470813,68007.71392160724,68002.67088661225
07/27/24 15:55:00,68054.9,68055.0,68030.9,68038.9,74.47,31.46529866984929,27.293378516349808,4.171920153499482,68013.36071623715,68012.07212702204
07/27/24 15:56:00,68038.9,68053.6,68031.4,68052.9,60.362,31.772383498304407,28.18917951274073,3.583203985563678,68020.26523839869,68020.65770161763
07/27/24 15:57:00,68052.9,68055.6,68052.0,68055.5,115.177,31.858305987843778,28.92300480776134,2.935301180082437,68028.46795084838,68027.52616129411
07/27/24 15:58:00,68055.5,68055.6,68055.5,68055.5,66.925,31.562566559558036,29.45091715812068,2.1116494014373544,68031.47852653646,68031.4
07/27/24 15:59:00,68055.5,68055.6,68055.5,68055.6,198.193,30.97915171906061,29.75656407030867,1.22258764875194,68038.48962564659,68036.23999999999
07/27/24 16:00:00,68055.5,68088.0,68055.5,68073.4,401.82,31.58896457371884,30.123044170990706,1.465920402728134,68049.34400675414,68040.112
07/27/24 16:01:00,68073.3,68100.0,68073.3,68099.9,167.876,33.820710091487854,30.86257735509014,2.9581327363977152,68055.2699876075,68049.6896
07/27/24 16:02:00,68099.9,68100.0,68090.0,68099.9,110.925,35.18380746190087,31.726823376452288,3.456984085448582,68060.07869948859,68055.5
07/27/24 16:03:00,68100.0,68100.0,68098.1,68100.0,181.051,35.85878337934264,32.55321537703036,3.3055680023122775,68065.40807802428,68064.4
07/27/24 16:04:00,68099.9,68100.0,68099.9,68100.0,188.638,35.97896356105048,33.23836501383438,2.740598547216095,68070.6927044479,68071.51999999999
07/27/24 16:05:00,68100.0,68146.3,68099.9,68104.3,451.623,36.00612508732593,33.791917028532694,2.2142080587932327,68080.35620588218,68077.21599999999
07/27/24 16:06:00,68104.2,68163.0,68097.2,68147.9,243.27,39.095141951649566,34.85256201315607,4.242579938493499,68087.85435343182,68091.03279999999
07/27/24 16:07:00,68147.8,68147.8,68109.8,68125.8,143.754,39.30682021341636,35.74341365320813,3.5634065602082288,68091.89456762074,68099.9
07/27/24 16:08:00,68125.9,68200.0,68124.1,68187.0,1126.326,43.90677531636902,37.37608598584031,6.530689330528709,68117.51835729185,68097.2
07/27/24 16:09:00,68186.9,68222.8,68173.0,68177.4,742.35,46.2445546669187,39.149779722055996,7.094774944862706,68131.86996890798,68109.8
07/27/24 16:10:00,68177.3,68212.0,68170.9,68199.2,228.784,49.2881760422315,41.1774589860911,8.110717056140402,68136.31433764506,68124.1
07/27/24 16:11:00,68199.2,68199.2,68155.2,68159.4,178.426,47.93616229305917,42.52919964748472,5.406962645574453,68139.85271894418,68143.84000000001
07/27/24 16:12:00,68159.4,68170.6,68153.0,68153.0,103.766,45.82006989934598,43.18737369785697,2.6326962014890114,68141.55775896643,68222.8
07/27/24 16:13:00,68153.0,68153.3,68072.2,68117.3,426.711,40.792133466675295,42.70832565162063,-1.9161921849453378,68142.70729153711,68221.40400000001
07/27/24 16:14:00,68117.3,68135.6,68117.2,68122.4,70.521,36.79483701979916,41.52562792525634,-4.730790905457177,68148.90502142407,68215.43584
07/27/24 16:15:00,68122.4,68132.5,68111.4,68111.4,72.987,32.36624479482998,39.69375129917107,-7.327506504341088,68150.65845386527,68209.7064064
07/27/24 16:16:00,68111.4,68113.4,68077.3,68091.2,115.175,26.91630792574142,37.138262624485144,-10.221954698743723,68150.53285308921,68204.206150144
07/27/24 16:17:00,68091.2,68094.9,68053.9,68061.8,177.656,19.99437667017628,33.70948543362337,-13.715108763447091,68149.36003356296,68198.92590413825
07/27/24 16:18:00,68061.9,68061.9,68034.0,68042.0,122.078,12.763867832676624,29.520361913434023,-16.7564940807574,68148.57386801293,68190.22434988995
07/27/24 16:19:00,68041.9,68042.0,68023.1,68023.2,136.037,5.453766973296297,24.70704292540648,-19.253275952110183,68148.09216996444,68177.72640189875
07/27/24 16:20:00,68023.2,68039.1,68015.1,68015.1,96.94,-0.9818250615353463,19.569269328018116,-20.551094389553462,68145.63776377155,68162.26376170888
07/27/24 16:21:00,68015.2,68028.5,68004.3,68028.5,124.9,-4.943820814602077,14.66665129949408,-19.610472114096154,68142.12581425042,68144.60411030382
07/27/24 16:22:00,68028.5,68050.0,68028.4,68050.0,54.745,-6.276508987939451,10.478019242007374,-16.754528229946825,68128.07642523262,68124.96153486129
07/27/24 16:23:00,68049.9,68106.5,68049.9,68099.0,106.741,-3.340278821880929,7.714359629229714,-11.054638451110643,68102.60114119129,68108.06891998071
07/27/24 16:24:00,68099.0,68099.1,68072.0,68072.1,34.113,-3.14761668239953,5.541964366903866,-8.689581049303396,68090.70918395033,68004.3
07/27/24 16:25:00,68072.0,68100.0,68072.0,68100.0,33.205,-0.7351592604973121,4.28653964142363,-5.021698901920942,68082.13006263523,68006.196
07/27/24 16:26:00,68100.0,68225.6,68100.0,68215.7,336.714,10.392950221154024,5.507821757369709,4.885128463784315,68095.30120966144,68009.94816
07/27/24 16:27:00,68215.6,68278.8,68189.7,68255.3,591.957,22.152090695715742,8.836675545038917,13.315415150676825,68133.06457911497,68022.8872704
07/27/24 16:28:00,68255.3,68265.3,68237.1,68250.9,322.766,30.761649863023194,13.221670408635774,17.53997945438742,68149.68607900327,68043.360288768
07/27/24 16:29:00,68250.8,68250.8,68200.0,68237.9,153.752,36.11943382756726,17.801223092422074,18.31821073514519,68155.73683990097,68062.19546566656
07/27/24 16:30:00,68238.0,68259.5,68213.6,68249.2,116.744,40.806934838794405,22.40236544169654,18.404569397097866,68162.81268682932,68079.52382841324
07/27/24 16:31:00,68248.6,68257.8,68213.6,68213.7,95.245,41.18253323974204,26.15839900130564,15.024134238436403,68172.57085667699,68095.46592214018
07/27/24 16:32:00,68213.6,68214.0,68170.7,68170.8,144.692,37.5852666508581,28.443772531216133,9.141494119641969,68179.92777558023,68110.13264836896
07/27/24 16:33:00,68170.7,68208.6,68170.7,68205.2,73.114,37.08273280884896,30.1715645867427,6.911168222106259,68189.36177682168,68123.62603649945
07/27/24 16:34:00,68205.1,68205.3,68193.5,68200.5,76.937,35.89148569262761,31.315548807919683,4.575936884707929,68196.82900447634,68136.0399535795
07/27/24 16:35:00,68200.5,68250.0,68200.4,68244.5,113.818,38.059124154940946,32.66426387732394,5.394860277617006,68208.3582493954,68147.46075729314
07/27/24 16:36:00,68244.5,68244.5,68227.7,68238.8,97.557,38.868993330193916,33.90520976789794,4.96378356229598,68213.51970229532,68157.96789670968
07/27/24 16:37:00,68238.9,68240.6,68218.1,68222.9,150.561,37.792178657473414,34.68260354581304,3.1095751116603765,68220.25299165305,68167.63446497291
07/27/24 16:38:00,68222.9,68223.0,68211.0,68211.1,23.793,35.57652979812701,34.86138879627583,0.7151410018511797,68222.236758028,68176.52770777508
07/27/24 16:39:00,68211.0,68211.0,68181.3,68195.5,81.07,32.190747588683735,34.327260554757416,-2.1365129660736812,68223.17691333996,68278.8
07/27/24 16:40:00,68195.4,68195.5,68161.2,68179.1,59.426,27.862960984843085,33.03440064077455,-5.171439655931465,68228.76516656263,68276.85
07/27/24 16:41:00,68179.0,68192.3,68176.1,68192.2,71.463,25.1997326087876,31.46746703437716,-6.267734425589563,68222.19024522153,68272.224
07/27/24 16:42:00,68192.3,68208.6,68189.6,68189.6,70.516,22.618573822895996,29.69768839208093,-7.079114569184934,68213.7739591487,68267.78304
07/27/24 16:43:00,68189.7,68204.0,68186.3,68197.2,29.057,20.94480470205599,27.947111654075947,-7.002306952019957,68211.32422635904,68263.5197184
07/27/24 16:44:00,68197.2,68217.3,68195.7,68215.6,67.416,20.862566163486918,26.53020255595814,-5.667636392471223,68208.24284509651,68259.426929664
07/27/24 16:45:00,68215.6,68215.7,68153.0,68176.3,216.457,17.425341483249213,24.709230341416358,-7.2838888581671455,68202.23184776696,68255.49785247743
07/27/24 16:46:00,68176.4,68179.9,68152.5,68161.3,54.621,13.337198597204406,22.43482399257397,-9.097625395369565,68202.57919406718,68249.34798132878
07/27/24 16:47:00,68161.3,68168.7,68135.2,68150.3,52.307,9.104753901905497,19.768809974440277,-10.66405607253478,68200.7674335057,68241.60014282248
07/27/24 16:48:00,68150.2,68153.3,68115.0,68133.7,78.339,4.360761574818753,16.68720029451597,-12.326438719697219,68196.34914341925,68230.96012854023
07/27/24 16:49:00,68133.6,68133.7,68123.2,68130.3,41.841,0.32303810970915947,13.414367857554609,-13.09132974784545,68190.10737419869,68217.0449131154
07/27/24 16:50:00,68130.2,68130.3,68086.5,68086.5,104.809,-6.338118885556469,9.463870508932395,-15.801989394488864,68177.48707768893,68204.79952354156
